#
#   VizieR Astronomical Server vizier.cds.unistra.fr
#    Date: 2023-11-13T01:03:35 [V7.32.5]
#   In case of problem, please report to:	cds-question@unistra.fr
#
#
#Coosys	J2000:	eq_FK5 J2000
#INFO	protocol=ASU	
#INFO	request_date=2023-11-13T01:03:35	
#INFO	request_post=https://vizier.cds.unistra.fr//viz-bin/asu-tsv	
#-oc.form=dec
#-out.max=9999
#-out.add=_r
#-out.add=_RAJ,_DEJ
#-sort=_r
#-nav=cat:J/AJ/145/101&tab:{J/AJ/145/101/catalog}&key:source=J/AJ/145/101/catalog&HTTPPRM:&-out.max=50&-out.form=HTML Table&-out.add=_r&-out.add=_RAJ,_DEJ&-sort=_r&-oc.form=sexa&
#-c.eq=J2000
#-c.r=  2
#-c.u=arcmin
#-c.geom=r
#-source=J/AJ/145/101/catalog
#-order=I
#-out=Name
#-out=Nd
#-out=RAJ2000
#-out=DEJ2000
#-out=a26
#-out=l_FUV
#-out=FUV
#-out=Bmag
#-out=l_Hamag
#-out=Hamag
#-out=Kmag
#-out=l_HImag
#-out=HImag
#-out=W50
#-out=TT
#-out=Mcl
#-out=Tdw
#-out=HRV
#-out=Dist
#-out=A26
#-out=i
#-out=vAmp
#-out=<Bmu>
#-out=M26
#-out=l_MHI
#-out=MHI
#-out=Vlg
#-out=Ti5
#-out=K+04
#-out=SimbadName
#
#INFO	contact=cds-question@unistra.fr	
#INFO	version=7.32.5	
#INFO	-out.max=9999	

#RESOURCE=yCat_51450101
#Name: J/AJ/145/101
#Title: Updated nearby galaxy catalog (Karachentsev+, 2013)
#INFO	ivoid=ivo://cds.vizier/j/aj/145/101	
#INFO	publisher=CDS	
#INFO	creator=Karachentsev I.D.	
#INFO	related_resource=bibcode:2013AJ....145..101K	
#INFO	landing_page=https://cdsarc.cds.unistra.fr/viz-bin/cat/J/AJ/145/101	
#INFO	publication_id=doi:10.26093/cds/vizier.51450101	
#INFO	publication_date=2017-06-12	
#INFO	curation_level=RESEARCH	
#INFO	rights=https://cds.unistra.fr/vizier-org/licences_vizier.html	
#Table	J_AJ_145_101_catalog:
#Name: J/AJ/145/101/catalog
#Title: Catalog of galaxies in the  the Local Volume
#Column	_RAJ2000	(F10.6)	Right ascension (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.ra]
#Column	_DEJ2000	(F10.6)	Declination (FK5, Equinox=J2000.0) (computed by VizieR, not part of the original data. The format may include more digits than the original data because of internal accuracy requirements in VizieR and across other CDS services)	[ucd=pos.eq.dec]
#Column	Name	(a18)	Galaxy name in well-known catalogs	[ucd=meta.id;meta.main]
#Column	Nd	(I3)	Number of data available for this galaxy (apparent magnitudes + velocities + kinematics + distances, in tables 3--6)	[ucd=meta.number]
#Column	RAJ2000	(A10)	Hour of Right Ascension (J2000)	[ucd=pos.eq.ra;meta.main]
#Column	DEJ2000	(A9)	Degree of Declination (J2000)	[ucd=pos.eq.dec;meta.main]
#Column	a26	(F6.2)	[0.1/645.65]? Major angular diameter (1)	[ucd=phys.angSize]
#Column	l_FUV	(A1)	[>] Lower limit flag on FUV	[ucd=meta.code.error]
#Column	FUV	(F5.2)	[8.21/24.56]? GALEX/FUV band magnitude (3)	[ucd=phot.mag;em.UV]
#Column	Bmag	(F5.2)	[-4.6/21.4]? Apparent integral B band magnitude (4)	[ucd=phot.mag;em.opt.B]
#Column	l_Hamag	(A1)	[>] Lower limit flag on Hamag	[ucd=meta.code.error]
#Column	Hamag	(F5.2)	[3.79/27.87]? Integral H{alpha} line emission magnitude (5)	[ucd=phot.flux;em.line.Halpha]
#Column	Kmag	(F5.2)	[-1.75/17.54]? 2MASS Ks band magnitude (6)	[ucd=phot.mag;em.IR.K]
#Column	l_HImag	(A1)	[>] Lower limit flag on HImag	[ucd=meta.code.error]
#Column	HImag	(F6.2)	[-3.35/21.5]? HI 21cm line magnitude (8)	[ucd=phot.mag;em.radio.750-1500MHz]
#Column	W50	(I3)	? HI line width at 50% level from maximum (9)	[ucd=spect.line.width;em.line.HI]
#Column	TT	(I2)	[-3/11]? Morphology T-type code (10)	[ucd=src.morph]
#Column	Mcl	(a5)	Dwarf galaxy morphology (BCD, HIcld, Im, Ir, S0em, Sm, Sph, Tr, dE, dEem, or dS0em) (11)	[ucd=src.morph.type]
#Column	Tdw	(A1)	Dwarf galaxy surface brightness morphology (H=high, N=normal, L=low, X=extremely low) (11)	[ucd=meta.code;src.morph]
#Column	HRV	(I4)	[-556/2219]? Heliocentric radial velocity (12)	[ucd=spect.dopplerVeloc;pos.heliocentric]
#Column	Dist	(F5.2)	[0.01/26.2] Distance to galaxy	[ucd=pos.distance;pos.heliocentric]
#Column	A26	(F5.2)	? Major linear diameter (13)	[ucd=phys.size.diameter]
#Column	i	(I2)	[0/90]? Inclination of galaxy from the face-on (i=0) position	[ucd=src]
#Column	vAmp	(I3)	? Amplitude of rotational velocity (14)	[ucd=phys.veloc.rotat]
#Column	<Bmu>	(F4.1)	? Average B band surface brightness (17)	[ucd=phot.mag.sb;em.opt.B]
#Column	M26	(F5.2)	? log(mass) within Holmberg radius (19)	[ucd=phys.mass]
#Column	l_MHI	(A1)	[<] Upper limit flag on MHI	[ucd=meta.code.error]
#Column	MHI	(F5.2)	[1.12/10.19]? log(Hydrogen mass) (20)	[ucd=arith.zp]
#Column	Vlg	(I4)	[-303/2094]? Local group radial velocity (21)	[ucd=phys.veloc;pos.lg]
#Column	Ti5	(F4.1)	[-2.5/6.5]? Tidal index {Theta}_5_ (24)	[ucd=src.class.struct]
#Column	K+04	(I3)	Cross-match with the Catalog of neighboring galaxies of Karachentsev et al. (2004, cat. J/AJ/127/2031) within 30"	[ucd=meta.ref.url]
#Column	SimbadName	(a29)	Simbad column added by the CDS	[ucd=meta.id]
_RAJ2000;_DEJ2000;Name;Nd;RAJ2000;DEJ2000;a26;l_FUV;FUV;Bmag;l_Hamag;Hamag;Kmag;l_HImag;HImag;W50;TT;Mcl;Tdw;HRV;Dist;A26;i;vAmp;<Bmu>;M26;l_MHI;MHI;Vlg;Ti5;K+04;SimbadName
073.278750;+67.099167;CamB              ;  7;04 53 06.9;+67 05 57;  1.48; ;     ;16.71; ;20.27;13.36; ; 15.74; 21;10;Ir   ;L;  78; 3.34; 1.71;72;  3;25.6; 6.14; ; 7.08; 267; 1.0;  1;CAM B
073.557083;-53.361389;NGC1705           ;  8;04 54 13.7;-53 21 41;  2.24; ;13.40;12.77; ;15.11;10.52; ; 14.46;111; 9;BCD  ;N; 628; 5.11; 3.31;48; 65;23.0; 9.21; ; 7.96; 401;-1.4;  1;NGC1705
074.244583;-42.803889;HIPASS J0457-42   ;  6;04 56 58.7;-42 48 14;  1.41; ;     ;14.46; ;18.69;12.06; ; 14.80; 58;10;Ir   ;N; 657; 7.20; 2.88;70; 26;23.7; 8.36; ; 8.13; 448;-1.2;  0;HIPASS J0457-42
074.992500;-26.026667;NGC1744           ;  8;04 59 58.2;-26 01 36;  6.92; ;13.34;11.71; ;15.53; 9.78; ; 12.45;195; 7;     ; ; 741;10.00;20.41;58;101;24.1;10.38; ; 9.35; 574; 0.1;  0;NGC1744
075.832083;-25.423056;ESO486-021        ;  8;05 03 19.7;-25 25 23;  1.51; ;15.55;14.37; ;17.58;11.43; ; 14.65; 65; 9;BCD  ;N; 831;10.00; 4.49;46; 39;23.8; 8.90; ; 8.47; 664; 0.8;  0;ESO486-021
076.607083;-31.954167;NGC1800           ;  8;05 06 25.7;-31 57 15;  2.00; ;14.73;13.13; ;16.49;10.21; ; 15.02; 66; 9;BCD  ;N; 814; 8.00; 4.59;67; 31;23.2; 8.70; ; 8.13; 625;-1.2;  0;NGC1800
078.562917;+62.580833;UGCA105           ;  8;05 14 15.1;+62 34 51;  5.50; ;15.11;12.14; ;15.32; 8.20; ; 11.87;121; 8;     ; ; 113; 3.15; 6.62;51; 68;23.6; 9.55; ; 8.58; 281; 0.6;  1;UGCA105
080.894167;-69.756111;LMC               ;  6;05 23 34.6;-69 45 22;645.65; ;     ; 0.91; ; 3.79;-1.75; ;  2.69; 65; 9;Im   ;N; 278; 0.05;10.06;35; 48;23.4; 9.44; ; 8.66;  28; 3.6;  1;LMC
081.247917; +4.505000;UGC03303          ;  6;05 24 59.5;+04 30 18;  5.62; ;     ;13.95; ;16.22;10.73; ; 13.81;158; 8;     ; ; 519; 7.14;13.06;39;109;25.9;10.26; ; 8.52; 444;-1.6;  1;UGC03303
081.773750;-20.678056;ESO553-046        ;  7;05 27 05.7;-20 40 41;  1.12; ;15.48;14.60; ;16.16;12.00; ; 16.32; 62; 9;BCD  ;N; 541; 5.07; 1.70;51; 35;23.4; 8.37; ; 7.21; 370;-1.6;  0;ESO553-046
085.422917; +6.681667;KK49              ;  6;05 41 41.5;+06 40 54;  1.15; ;     ;16.10; ;16.68;10.39; ; 15.06; 55; 9;BCD  ;N; 455; 5.15; 2.89;51; 30;23.7; 8.48; ; 7.73; 376;-1.6;  1;[KK98a] 49
086.258333; +5.068333;Orion             ;  7;05 45 02.0;+05 04 06;  3.09; ;     ;15.40; ;17.35;10.90; ; 12.54;118; 8;     ; ; 368; 6.46;11.17;62; 58;24.6; 9.64; ; 8.94; 280;-1.7;  1;Orion
089.402917; +7.491944;A0554+07          ;  6;05 57 36.7;+07 29 31;  0.72; ;     ;18.40; ;21.15;13.72; ; 16.28; 50;10;Ir   ;N; 428; 5.50; 1.94;90; 21;24.9; 7.99; ; 7.30; 340;-1.2;  1;Anon 0554+07
089.921667;+73.427500;KKH34             ;  7;05 59 41.2;+73 25 39;  0.93; ;22.12;17.10; ;22.47;13.76; ; 17.26; 22;10;Ir   ;L; 106; 4.61; 1.55;66;  3;25.0; 6.13; ; 6.76; 295;-0.3;  1;[KKH2001] 34
091.439167;-33.081667;ESO364-029        ;  6;06 05 45.4;-33 04 54;  3.55; ;     ;13.67; ;17.13;10.27; ; 14.29; 76; 9;Im   ;N; 787; 7.59; 8.06;51; 43;24.9; 9.23; ; 8.38; 554; 0.1;  1;ESO364-029
091.832083;-34.204444;HIPASS J0607-34   ;  7;06 07 19.7;-34 12 16;  1.02; ;     ;14.09; ;18.01;11.50; ; 14.94;127; 9;BCD  ;N; 765; 7.40; 2.24;55; 68;22.6; 9.07; ; 8.09; 529; 1.6;  0;HIPASS J0607-34
092.539583;-34.106111;NGC2188           ;  7;06 10 09.5;-34 06 22;  4.68; ;     ;12.14; ;15.66; 9.50; ; 13.66;112; 8;     ; ; 745; 7.40; 9.82;78; 50;23.8; 9.45; ; 8.61; 508; 0.9;  0;NGC2188
093.977083;-57.726389;ESO121-020        ;  6;06 15 54.5;-57 43 35;  0.93; ;17.02;15.27; ;     ;12.76; ; 14.90; 47;10;Ir   ;N; 587; 6.05; 1.68;51; 25;23.6; 8.08; ; 7.94; 319;-0.1;  1;ESO121-020
094.038333;-57.765278;LV J0616-5745     ;  6;06 16 09.2;-57 45 55;  0.40; ;18.45;17.01; ;     ;14.50; ; 16.32; 36;10;Ir   ;N; 554; 6.00; 0.71;41; 20;23.5; 7.50; ; 7.36; 286; 0.6;  0;[KMK2013] LV J0616-5745
095.228333; -8.650278;UGCA127sat        ;  3;06 20 54.8;-08 39 01;  0.69; ;     ;16.90; ;20.45;11.32; ;      ;   ;10;Ir   ;L;    ; 8.50; 3.51;90;   ;22.8;     ; ;     ;    ; 3.9;  0;NAME UGCA 127 sat
095.232083; -8.495556;UGCA127           ;  7;06 20 55.7;-08 29 44;  5.25; ;     ;14.10; ;15.53; 8.31; ; 12.14;300; 6;     ; ; 732; 8.50;27.00;77;141;23.5;10.80; ; 9.34; 562; 2.7;  0;UGCA127
095.557500; -7.837778;WHI B0619-07      ;  6;06 22 13.8;-07 50 16;  1.74; ;     ;14.63; ;18.53; 9.51; ; 13.11;156; 8;     ; ; 759; 8.40; 7.17;59; 79;22.8; 9.72; ; 8.94; 591; 1.5;  0;WHI B0619-07
096.570833;-26.265556;ESO489-056        ;  5;06 26 17.0;-26 15 56;  0.72; ;     ;15.70; ;     ;13.09; ; 16.42; 24;10;Ir   ;N; 492; 4.99; 1.09;72;  3;23.4; 5.94; ; 7.16; 263;-1.6;  1;ESO489-056
097.537500; +8.376944;HIPASS J0630+08   ;  4;06 30 09.0;+08 22 37;      ; ;     ;     ; ;24.60;     ; ; 15.68; 33;10;Ir   ;N; 367; 3.55;     ;  ;   ;    ;     ; ; 7.16; 259;-1.3;  0;HIPASS J0630+08
097.620000;+39.503889;UGC03475          ;  7;06 30 28.8;+39 30 14;  2.09; ;     ;15.20; ;18.43;12.52; ; 14.21;170; 6;     ; ; 487;20.00;14.07;57; 89;24.8;10.11; ; 9.25; 525;-2.5;  0;UGC03475
097.621667;+33.301944;UGC03476          ;  6;06 30 29.2;+33 18 07;  1.48; ;     ;15.98; ;18.22;12.70; ; 14.68; 83;10;Ir   ;N; 469; 7.01; 3.59;90; 36;24.8; 8.74; ; 8.15; 477;-1.6;  1;UGC03476
099.485833;-25.999722;ESO490-017        ;  7;06 37 56.6;-25 59 59;  1.70; ;     ;14.01; ;17.26;12.00; ; 15.09; 39;10;Ir   ;N; 505; 4.23; 2.22;46; 21;23.6; 8.05; ; 7.55; 269;-1.5;  1;ESO490-017
099.500417;-15.022778;CGMW1-260         ;  7;06 38 00.1;-15 01 22;  3.16; ;     ;13.70; ;18.04;10.00; ; 14.23;195; 8;     ; ; 746;10.80;13.13;65; 95;23.7;10.14; ; 8.71; 542;-1.0;  0;CGMW1-260
099.660000;+49.258333;UGC03501          ;  6;06 38 38.4;+49 15 30;  1.12; ;17.99;16.70; ;     ;13.89; ; 16.00; 60;10;Ir   ;N; 451;15.50; 5.42;90; 26;25.2; 8.62; ; 8.31; 530;-1.6;  0;UGC03501
099.887083;-40.720278;KK55              ;  4;06 39 32.9;-40 43 13;  0.71; ;     ;16.05; ;     ;13.40; ; 15.59; 50;10;Ir   ;N; 824; 7.65; 1.66;58; 24;23.7; 8.06; ; 7.86; 559;-1.4;  1;[KK98a] 55
100.402917;-50.966111;Carina            ;  5;06 41 36.7;-50 57 58; 24.55; ;21.41;11.30; ;     ; 6.95;>; 20.04;   ;-3;Sph  ;X; 224; 0.10; 0.76;62;   ;26.8;     ;<; 2.32; -52; 2.8;  1;CARINA dSph
101.113750;-17.932500;IC2171            ;  6;06 44 27.3;-17 55 57;  1.91; ;     ;15.17; ;17.67;10.81; ; 14.85;107; 8;     ; ; 789; 9.90; 7.59;81; 47;24.0; 9.29; ; 8.38; 572; 1.6;  0;IC2171
101.469583;-18.210278;NGC2283           ;  7;06 45 52.7;-18 12 37;  3.63; ;     ;12.93; ;15.08; 8.83; ; 12.24;179; 6;     ; ; 841;10.00;14.96;41;119;23.3;10.39; ; 9.44; 622; 1.4;  0;NGC2283
101.737083;-17.941389;KKSG9             ;  7;06 46 56.9;-17 56 29;  0.50; ;     ;16.40; ;19.60;11.66; ; 14.24;182; 9;BCD  ;N; 693;10.00; 2.17;52;102;22.3; 9.42; ; 8.64; 474; 2.5;  1;[KKS2000] 9
101.940833;+80.123889;KKH37             ;  6;06 47 45.8;+80 07 26;  1.15; ;18.99;16.40; ;21.26;13.75; ; 16.74;   ;10;Ir   ;N;  11; 3.39; 1.20;55;   ;25.1;     ; ; 6.70; 214; 0.3;  1;[KKH2001] 37
101.978750;+47.513889;KKH38             ;  5;06 47 54.9;+47 30 50;  1.38; ;     ;17.40; ;     ;14.68; ; 15.41; 58;10;Ir   ;L; 451;19.30; 8.24;68; 27;26.5; 8.83; ; 8.74; 518;-2.1;  0;[KKH2001] 38
103.916667;+39.095000;UGC03600          ;  7;06 55 40.0;+39 05 42;  1.91; ;17.63;16.18; ;20.15;13.22; ; 15.69; 82; 8;     ; ; 398; 7.24; 4.19;70; 38;25.9; 8.84; ; 7.78; 421;-1.4;  1;UGC03600
105.122083; -4.208333;HIZSS003          ;  5;07 00 29.3;-04 12 30;  0.50; ;     ;18.00; ;     ;11.39; ; 13.83; 70;10;Ir   ;N; 298; 1.67; 0.66;62; 34;22.6; 7.96; ; 7.25; 118;-0.7;  1;HIZSS003
106.321250;-58.520556;FG202             ;  6;07 05 17.1;-58 31 14;  1.95; ;     ;14.95; ;18.03;12.13; ; 13.60; 66;10;Ir   ;L; 564; 4.90; 3.01;76; 29;24.7; 8.48; ; 8.27; 279;-1.3;  1;ARGO DWARF IRREGULAR
106.437500;-20.991667;HIPASS J0705-20   ;  3;07 05 45.0;-20 59 30;      ; ;     ;     ; ;     ;     ; ; 14.59; 29; 0;     ; ; 766; 7.23;     ;  ;   ;    ;     ; ; 8.21; 528;-0.4;  0;HIPASS J0705-20
106.736667;-22.040556;ESO558-011        ;  6;07 06 56.8;-22 02 26;  1.82; ;     ;14.43; ;18.42;10.20; ; 15.27;125; 8;     ; ; 731; 8.40; 6.20;57; 65;23.3; 9.48; ; 8.07; 489;-1.0;  1;ESO558-011
107.328333;+44.380000;UGC03698          ;  7;07 09 18.8;+44 22 48;  1.17; ;17.56;15.41; ;18.93;12.68; ; 15.47; 38;10;Ir   ;N; 421; 7.24; 2.66;62; 16;24.1; 7.91; ; 7.86; 464;-1.1;  1;UGC03698
107.556667;+44.456944;NGC2337           ;  8;07 10 13.6;+44 27 25;  2.75; ;15.18;13.48; ;16.00;10.34; ; 13.80;147; 9;Im   ;N; 433; 7.87; 6.77;47; 88;24.0; 9.78; ; 8.60; 476;-1.3;  1;NGC2337
108.465833;+10.521944;UGC03755          ;  8;07 13 51.8;+10 31 19;  1.86; ;16.38;14.07; ;17.96;11.66; ; 14.56; 34;10;Ir   ;N; 311; 7.41; 4.27;63; 13;23.8; 7.95; ; 8.25; 186;-1.7;  1;UGC03755
110.685417;+45.108333;UGC03817          ;  8;07 22 44.5;+45 06 30;  1.74; ;17.89;15.96; ;19.19;11.89; ; 15.06; 35;10;Ir   ;L; 437; 8.55; 4.62;72; 13;25.5; 7.97; ; 8.17; 478;-1.1;  1;UGC03817
111.341667;-24.475278;HIZSS008          ;  5;07 25 22.0;-24 28 31;  1.35; ;     ;16.90; ;     ; 8.50; ; 13.41;136; 7;     ; ; 800; 7.43;10.56;66; 65;22.7; 9.71; ; 8.71; 542;-0.1;  0;HIZSS008
112.071667;+40.770278;DDO043            ;  8;07 28 17.2;+40 46 13;  1.41; ;16.80;15.12; ;18.79;13.07; ; 14.99; 36;10;Ir   ;N; 353; 5.73; 2.45;53; 17;24.3; 7.90; ; 7.85; 370;-1.2;  1;DDO043
112.227500;+69.205278;NGC2366           ;  7;07 28 54.6;+69 12 19;  7.24; ;12.74;11.68; ;13.89; 9.14; ; 11.83; 99;10;Ir   ;N;  96; 3.19; 6.68;90; 43;24.4; 9.16; ; 8.61; 251; 1.1;  1;NGC2366
112.534583;-22.016944;HIZSS012          ;  5;07 30 08.3;-22 01 01;  3.20; ;     ;19.00; ;     ; 9.00; ; 12.56;268; 8;     ; ; 779; 7.20;35.87;61;139;25.5;10.91; ; 9.02; 525; 0.1;  0;HIZSS012
112.830417;-68.186111;ESO059-001        ;  7;07 31 19.3;-68 11 10;  2.14; ;     ;13.98; ;17.89;11.25; ; 14.17; 85; 9;Im   ;N; 530; 4.57; 3.23;40; 57;23.9; 9.09; ; 7.98; 247;-1.1;  1;ESO059-001
113.547083;+66.886111;DDO044            ;  6;07 34 11.3;+66 53 10;  2.82; ;22.52;15.64; ;24.41;11.37;>; 18.30;   ;-3;Sph  ;L; 213; 3.19; 2.72;62;   ;26.4;     ;<; 6.02; 356; 2.3;  1;DDO044
114.042917; +9.986389;AGC174585         ;  5;07 36 10.3;+09 59 11;  0.40; ;     ;17.90; ;     ;15.39; ; 18.05; 21;10;Ir   ;N; 356; 6.10; 0.72;60;  3;24.4; 5.85; ; 6.68; 217;-1.6;  0;AGC174585
114.094167;-19.494444;HIZSS014          ;  4;07 36 22.6;-19 29 40;  0.40; ;     ;18.40; ;     ;10.82; ; 15.35; 56; 9;BCD  ;N; 786; 7.35; 2.88;62; 27;22.0; 8.38; ; 7.92; 537; 0.0;  0;HIZSS014
114.214167;+65.599444;NGC2403           ;  8;07 36 51.4;+65 35 58; 28.18; ;10.66; 8.80; ;11.99; 6.19; ; 10.19;240; 6;     ; ; 125; 3.18;26.46;57;128;24.2;10.71; ; 9.26; 262; 0.6;  1;NGC2403
114.368750;+47.409167;LV J0737+4724     ;  6;07 37 28.5;+47 24 33;  0.42; ;20.03;18.06; ;     ;15.28; ; 17.40; 39;10;Ir   ;N; 404;15.70; 2.03;90; 15;24.5; 7.71; ; 7.76; 451;-1.5;  0;[KMK2013] LV J0737+4724
115.357500;+40.112500;DDO046            ;  8;07 41 25.8;+40 06 45;  1.78; ;16.24;14.40; ;19.01;12.20; ; 14.46; 74;10;Ir   ;N; 364; 6.85; 3.71;22; 86;24.1; 9.50; ; 8.22; 373;-1.1;  1;DDO046
115.479167;+16.800556;DDO047            ;  8;07 41 55.0;+16 48 02;  4.68; ;15.04;13.62; ;17.79;11.00; ; 13.33; 55; 8;     ; ; 270; 8.05;11.22;32; 44;25.5; 9.40; ; 8.81; 160; 1.0;  1;DDO047
115.630000;+16.561111;KK65              ;  8;07 42 31.2;+16 33 40;  1.12; ;17.56;15.34; ;18.08;12.53; ; 16.09; 33;10;Ir   ;N; 281; 8.02; 2.64;66; 12;24.1; 7.66; ; 7.70; 170; 1.6;  1;[KK98a] 65
116.568750;-28.469722;HIZSS021          ;  4;07 46 16.5;-28 28 11;  0.80; ;     ;17.50; ;     ;11.13; ; 14.06; 85;10;Ir   ;N; 494; 3.00; 1.76;57; 44;23.3; 8.60; ; 7.66; 219;-1.2;  0;HIZSS021
116.735000;+51.296111;KKH40             ;  5;07 46 56.4;+51 17 46;  0.66; ;17.87;16.60; ;     ;14.00; ; 16.36; 27;10;Ir   ;N; 445; 6.98; 1.40;50;  8;24.2; 7.00; ; 7.48; 510;-0.2;  0;[KKH2001] 40
116.883750;+51.191389;CGCG 262-028      ;  5;07 47 32.1;+51 11 29;  1.00; ;16.03;14.80; ;17.41;12.81; ;      ;   ; 9;BCD  ;N; 454; 7.10; 2.15;70;   ;23.2;     ; ;     ; 518;-0.6;  0;MCG+09-13-056
117.590417; +7.794444;AGC174605         ;  6;07 50 21.7;+07 47 40;  0.34;>;23.00;18.00; ;     ;15.56; ; 17.84; 24;10;Ir   ;N; 351; 6.00; 0.60;22;  7;24.2; 6.49; ; 6.75; 196;-1.6;  0;AGC174605
119.257500;+14.390833;UGC04115          ;  8;07 57 01.8;+14 23 27;  1.91; ;15.82;15.23; ;17.89;12.13; ; 14.43; 78;10;Ir   ;N; 343; 7.73; 4.29;66; 37;25.2; 8.84; ; 8.34; 215;-1.2;  1;UGC04115
120.355833;-21.997500;HIPASS J0801-21   ;  5;08 01 25.4;-21 59 51;  0.48; ;     ;17.20;>;22.31;13.97; ; 16.00; 56;10;Ir   ;N; 730; 6.34; 1.06;67; 26;23.7; 7.92; ; 7.54; 463;-1.1;  0;HIPASS J0801-21
120.471667;+50.737222;NGC2500           ;  8;08 01 53.2;+50 44 14;  3.31; ;13.80;12.23; ;15.36; 9.28; ; 13.93;102; 7;     ; ; 514;12.40;12.31;33; 81;23.3; 9.97; ; 8.95; 572;-0.4;  0;NGC2500
123.164583;+48.612500;LV J0812+4836     ;  4;08 12 39.5;+48 36 45;  0.52; ;19.00;17.10; ;     ;14.55; ;      ;   ; 9;BCD  ;N; 521;12.42; 1.88;90;   ;24.1;     ; ;     ; 565; 1.3;  0;[KMK2013] LV J0812+4836
123.311250;+45.990556;NGC2537           ;  8;08 13 14.7;+45 59 26;  2.57; ;14.32;12.27; ;15.41; 9.13; ; 14.42;100; 8;     ; ; 449;12.20; 9.54;29; 91;22.8; 9.96; ; 8.74; 479; 1.9;  1;NGC2537
123.495417;+45.742222;IC2233            ;  8;08 13 58.9;+45 44 32;  4.90; ;14.85;13.07; ;16.54;10.76; ; 13.46;178; 7;     ; ; 557;12.20;16.69;90; 78;24.1;10.07; ; 9.12; 586; 2.6;  0;IC2233
123.667083;+49.061667;NGC2541           ;  8;08 14 40.1;+49 03 42;  7.08; ;13.16;12.26; ;15.57;10.09; ; 12.49;192; 7;     ; ; 559;12.40;26.11;59; 99;24.7;10.47; ; 9.52; 605; 0.5;  0;NGC2541
124.766667;+70.714167;HolmII            ;  8;08 19 04.0;+70 42 51;  8.91; ;12.55;11.10; ;14.47; 8.00; ; 11.95; 64; 9;Im   ;N; 157; 3.39; 9.00;34; 49;24.4; 9.40; ; 8.61; 311; 1.0;  1;Holmberg II
124.835417;+50.009722;NGC2552           ;  8;08 19 20.5;+50 00 35;  3.72; ;14.65;12.69; ;16.41;10.00; ; 14.11;130; 8;     ; ; 524;12.40;13.83;43; 83;23.9;10.05; ; 8.88; 574; 0.3;  0;NGC2552
124.847083;-85.145556;ESO006-001        ;  4;08 19 23.3;-85 08 44;  1.10; ;     ;15.13; ;     ;12.97;>; 18.20;   ; 9;BCD  ;N; 738; 6.70; 2.55;27;   ;23.5;     ;<; 6.70; 489;-1.4;  1;ESO006-001
125.252917;-23.781389;ESO495-008        ;  6;08 21 00.7;-23 46 53;  0.69; ;     ;16.06; ;19.66;13.21; ; 16.36; 99;10;Ir   ;N; 789;17.30; 3.68;90; 43;23.5; 8.90; ; 8.26; 512; 0.0;  0;ESO495-008
125.983333;+71.029444;KDG052            ;  8;08 23 56.0;+71 01 46;  1.26; ;17.45;16.35; ;24.61;13.63; ; 15.94; 21;10;Ir   ;L; 116; 3.55; 1.32;26;  6;25.4; 6.71; ; 7.06; 271; 1.2;  1;KDG052
126.270833;+32.017500;KUG 0821+321      ;  2;08 25 05.0;+32 01 03;  0.68; ;     ;16.80; ;     ;14.27; ;      ;   ;10;Ir   ;N; 642; 8.15; 1.65;59;   ;24.5;     ; ;     ; 595;-0.2;  0;KUG 0821+321
126.303750;-28.140278;CGMW2-3473        ;  5;08 25 12.9;-28 08 25;  0.78; ;     ;15.22; ;     ;11.93; ; 15.72; 62; 9;BCD  ;N; 837; 7.40; 2.04;64; 30;22.7; 8.32; ; 7.78; 549;-0.8;  0;CGMW2-3473
127.118750;+41.856667;DDO052            ;  8;08 28 28.5;+41 51 24;  1.74; ;17.01;15.27; ;19.93;12.37; ; 15.09; 83;10;Ir   ;N; 396;10.28; 5.23;72; 38;25.0; 8.94; ; 8.32; 401;-0.9;  1;DDO052
128.527083;+66.179167;DDO053            ;  8;08 34 06.5;+66 10 45;  2.00; ;15.58;14.55; ;17.05;12.77; ; 14.55; 30;10;Ir   ;N;  19; 3.56; 2.13;33; 16;24.6; 7.78; ; 7.62; 150; 1.0;  1;DDO053
129.063333;-26.409444;ESO495-021        ;  6;08 36 15.2;-26 24 34;  2.09; ;     ;12.45; ;14.19; 9.00; ; 14.71;117; 9;BCD  ;H; 868; 7.96; 5.31;45; 72;22.3; 9.51; ; 8.25; 581;-0.9;  0;ESO495-021
129.262500;+69.775278;UGC04483          ;  8;08 37 03.0;+69 46 31;  1.32; ;16.00;14.95; ;17.61;13.33; ; 14.57; 33;10;Ir   ;N; 156; 3.21; 1.24;64; 12;24.1; 7.35; ; 7.52; 304; 1.0;  1;UGC04483
132.275000;-26.320000;ESO496-010        ;  7;08 49 06.0;-26 19 12;  1.05; ;17.76;14.83; ;     ;11.90; ; 16.10; 61; 9;BCD  ;N; 814; 7.80; 2.56;56; 31;23.3; 8.47; ; 7.68; 524;-0.2;  0;ESO496-010
132.800417;+27.880000;AGC182595         ;  6;08 51 12.1;+27 52 48;  0.36; ;19.26;17.20; ;     ;14.68; ; 18.10; 20; 9;BCD  ;N; 398; 6.10; 0.66;64;  3;23.5; 5.77; ; 6.66; 323;-0.9;  0;AGC182595
